Moderna,Close,Gold,Close,Ethereum,Close,Bitcoin,Close,Crude Oil,Close,"Digital Realty Trust, Inc",Close,Nike,Close,"Overstock, Inc",Close
5/10/2022 16:00:00,132.32,5/10/2022 16:00:00,21.29,5/9/2022 17:26:00,3.26,5/10/2022 16:00:00,85.02,5/10/2022 16:00:00,85.02,5/10/2022 16:00:00,126.6,5/10/2022 16:00:00,109.49,5/10/2022 16:00:00,32
5/11/2022 16:00:00,123.43,5/11/2022 16:00:00,21.23,5/10/2022 17:26:00,3.3,5/11/2022 16:00:00,86.79,5/11/2022 16:00:00,86.79,5/11/2022 16:00:00,127,5/11/2022 16:00:00,107.92,5/11/2022 16:00:00,29.33
5/12/2022 16:00:00,130.17,5/12/2022 16:00:00,20.34,5/11/2022 17:26:00,3.48,5/12/2022 16:00:00,86.3,5/12/2022 16:00:00,86.3,5/12/2022 16:00:00,127.11,5/12/2022 16:00:00,107.9,5/12/2022 16:00:00,30.75
5/13/2022 16:00:00,137.91,5/13/2022 16:00:00,20.43,5/12/2022 17:26:00,3.38,5/13/2022 16:00:00,88.86,5/13/2022 16:00:00,88.86,5/13/2022 16:00:00,131.19,5/13/2022 16:00:00,113.01,5/13/2022 16:00:00,31.33
5/16/2022 16:00:00,136.26,5/16/2022 16:00:00,20.52,5/13/2022 17:26:00,3.45,5/16/2022 16:00:00,90.95,5/16/2022 16:00:00,90.95,5/16/2022 16:00:00,128.41,5/16/2022 16:00:00,112.6,5/16/2022 16:00:00,28.26
5/17/2022 16:00:00,142.28,5/17/2022 16:00:00,20.47,5/16/2022 17:26:00,3.51,5/17/2022 16:00:00,92.11,5/17/2022 16:00:00,92.11,5/17/2022 16:00:00,128.65,5/17/2022 16:00:00,115.9,5/17/2022 16:00:00,30.92
5/18/2022 16:00:00,137.71,5/18/2022 16:00:00,19.75,5/17/2022 17:26:00,3.52,5/18/2022 16:00:00,90.65,5/18/2022 16:00:00,90.65,5/18/2022 16:00:00,125.29,5/18/2022 16:00:00,109.37,5/18/2022 16:00:00,27.35
5/19/2022 16:00:00,143.38,5/19/2022 16:00:00,20.72,5/18/2022 17:26:00,3.42,5/19/2022 16:00:00,91.14,5/19/2022 16:00:00,91.14,5/19/2022 16:00:00,127.67,5/19/2022 16:00:00,106.44,5/19/2022 16:00:00,27.83
5/20/2022 16:00:00,136.25,5/20/2022 16:00:00,20.76,5/19/2022 17:26:00,3.48,5/20/2022 16:00:00,91.86,5/20/2022 16:00:00,91.86,5/20/2022 16:00:00,131.1,5/20/2022 16:00:00,108,5/20/2022 16:00:00,27.54
5/23/2022 16:00:00,137.62,5/23/2022 16:00:00,20.73,5/20/2022 17:26:00,3.43,5/23/2022 16:00:00,93.89,5/23/2022 16:00:00,93.89,5/23/2022 16:00:00,133.52,5/23/2022 16:00:00,108.63,5/23/2022 16:00:00,27.22
