Moderna,Close,Gold,Close,Ethereum,Close,Bitcoin,Close,Crude Oil,Close,"Digital Realty Trust, Inc",Close,Nike,Close,"Overstock, Inc",Close
3/30/2020 16:00:00,30.48,3/30/2020 16:00:00,19.29,3/26/2020 17:26:00,5.08,4/1/2020 16:00:00,0.12,3/30/2020 16:00:00,37.5,3/30/2020 16:00:00,139.81,3/30/2020 16:00:00,85.38,3/30/2020 16:00:00,4.25
3/31/2020 16:00:00,29.95,3/31/2020 16:00:00,18.32,3/27/2020 17:26:00,4.81,4/2/2020 16:00:00,0.12,3/31/2020 16:00:00,37.97,3/31/2020 16:00:00,138.91,3/31/2020 16:00:00,82.74,3/31/2020 16:00:00,4.99
4/1/2020 16:00:00,29.67,4/1/2020 16:00:00,18.87,3/30/2020 17:26:00,4.96,4/3/2020 16:00:00,0.12,4/1/2020 16:00:00,37.53,4/1/2020 16:00:00,134.48,4/1/2020 16:00:00,79.23,4/1/2020 16:00:00,4.53
4/2/2020 16:00:00,33.2,4/2/2020 16:00:00,19.85,3/31/2020 17:26:00,5.02,4/6/2020 16:00:00,0.18,4/2/2020 16:00:00,40.4,4/2/2020 16:00:00,135.01,4/2/2020 16:00:00,80.14,4/2/2020 16:00:00,4.63
4/3/2020 16:00:00,34.84,4/3/2020 16:00:00,19.95,4/1/2020 17:26:00,5.07,4/7/2020 16:00:00,0.18,4/3/2020 16:00:00,39.21,4/3/2020 16:00:00,136.49,4/3/2020 16:00:00,78.86,4/3/2020 16:00:00,4.91
4/6/2020 16:00:00,34.64,4/6/2020 16:00:00,20.55,4/2/2020 17:26:00,4.96,4/8/2020 16:00:00,0.18,4/6/2020 16:00:00,40.47,4/6/2020 16:00:00,139.5,4/6/2020 16:00:00,84.63,4/6/2020 16:00:00,5.5
4/7/2020 16:00:00,32.02,4/7/2020 16:00:00,20.31,4/3/2020 17:26:00,4.95,4/9/2020 16:00:00,0.12,4/7/2020 16:00:00,41.24,4/7/2020 16:00:00,140.5,4/7/2020 16:00:00,84.16,4/7/2020 16:00:00,5.33
4/8/2020 16:00:00,32.42,4/8/2020 16:00:00,20.41,4/6/2020 17:26:00,5.32,4/13/2020 16:00:00,0.12,4/8/2020 16:00:00,43.85,4/8/2020 16:00:00,145.81,4/8/2020 16:00:00,85.3,4/8/2020 16:00:00,6.82
4/9/2020 16:00:00,31.86,4/9/2020 16:00:00,22.51,4/7/2020 17:26:00,5.64,4/14/2020 16:00:00,0.12,4/9/2020 16:00:00,43.13,4/9/2020 16:00:00,148.29,4/9/2020 16:00:00,86.79,4/9/2020 16:00:00,7.44
4/13/2020 16:00:00,32.9,4/13/2020 16:00:00,22.51,4/8/2020 17:26:00,6.33,4/15/2020 16:00:00,0.12,4/13/2020 16:00:00,42.76,4/13/2020 16:00:00,140.71,4/13/2020 16:00:00,84.46,4/13/2020 16:00:00,7.85
